EMU	InChI	value	sd
Exx+0	/a(C1+0,1)	0.4781088819103195	0.017839569586234928
Exx+1	/a(C1+1,1)	0.5218911180896804	0.017839569586234935
xEx+0	/a(C1+0,2)	0.49693350163883154	0.010213684469686285
xEx+1	/a(C1+1,2)	0.5030664983611683	0.010213684469686284
xxE+0	/a(C1+0,3)	0.4966933090572459	0.012200829937490451
xxE+1	/a(C1+1,3)	0.5033066909427539	0.01220082993749045
EEx+0	/a(C2+0,1,2)	0.23028399902823857	0.016733546803318768
EEx+1	/a(C1+1,1,2)	0.5144743854926739	0.01629701472661159
EEx+2	/a(C2+1,1,2)	0.25524161547908736	0.008220296789396014
ExE+0	/a(C2+0,1,3)	0.2472951964255901	0.012140270202634912
ExE+1	/a(C1+1,1,3)	0.48021179811638526	0.018184139930106095
ExE+2	/a(C2+1,1,3)	0.2724930054580246	0.013677005587702143
xEE+0	/a(C2+0,2,3)	0.2470637136201022	0.007478624305335306
xEE+1	/a(C1+1,2,3)	0.499499383455873	0.007330590914258731
xEE+2	/a(C2+1,2,3)	0.25343690292402465	0.0060742238925952366
EEE+0	/a(C3+0,1,2,3)	0.1221938550666105	0.008437595275358813
EEE+1	/a(C1+1,1,2,3)	0.3580613438740994	0.009031643993407145
EEE+2	/a(C2+1,1,2,3)	0.38903143965836673	0.008438666970212557
EEE+3	/a(C3+1,1,2,3)	0.13071336140092327	0.005842545259534736
